ID,Session,Block,Trial,Design,1,RT,2,RT,3,RT,4,RT,5,RT,6,RT,7,RT,8,RT,9,RT,10,RT,11,RT,12,RT,13,RT,14,RT,15,RT,16,RT
1,1,1,1,pre,-1,1.229004,0,0.962006,4,0.826004,4,0.828003,4,1.093994,3,1.153992,2,1.582001,1,0.940994,2,1.005997,2,0.960999,3,1.634995,1,1.779007,0,0.837997,-1,0.649002,-1,0.651993,-1,0.692001
1,1,1,1,post,4,1.606995,3,1.112000,3,0.839996,4,0.667999,4,0.658005,2,1.328995,2,1.467010,1,0.787994,4,0.660995,3,0.800995,4,0.563995,4,0.712997,4,0.664001,1,0.764008,0,0.582001,4,0.705002
1,1,2,1,pre,-1,0.721008,-1,0.632004,-1,0.682007,-1,0.626007,-1,0.654999,-1,0.680008,-1,0.653992,-1,0.620010,-1,0.604996,-1,0.611008,-1,0.584991,-1,0.585999,-1,0.584991,-1,0.567993,-1,0.585999,-1,0.584991
1,1,2,1,post,1,3.348999,4,0.966995,-1,0.518997,-1,0.540009,-1,0.559998,-1,0.522995,-1,0.504013,-1,0.564987,-1,0.567001,-1,0.518997,-1,0.483994,-1,0.524002,-1,0.503998,-1,0.524002,-1,0.544998,-1,0.499008
