ID,Session,Block,Trial,Design,1,RT,2,RT,3,RT,4,RT,5,RT,6,RT,7,RT,8,RT,9,RT,10,RT,11,RT,12,RT,13,RT,14,RT,15,RT,16,RT
1,1,1,1,pre,0,1.306000,0,1.033005,1,1.816010,0,1.641006,4,1.172012,4,1.347992,-1,1.166000,-1,1.273987,-1,0.681992,-1,0.723007,-1,1.227997,-1,1.018997,-1,2.352997,-1,0.963013,-1,1.218002,-1,1.227005
1,1,1,1,post,0,1.738998,1,1.371994,4,1.612000,-1,1.046005,-1,0.886002,-1,0.747009,-1,0.884995,-1,2.027008,-1,6.208008,-1,0.828003,-1,0.681000,-1,0.863998,-1,1.148010,-1,1.104004,-1,1.084000,-1,0.615997
1,1,1,2,pre,-1,2.081009,-1,1.121994,-1,0.913986,-1,0.619003,-1,0.733002,-1,1.067001,-1,1.082001,-1,1.029999,-1,0.643005,-1,0.662018,-1,1.126007,-1,0.903015,-1,0.904999,-1,0.889008,-1,0.639008,-1,0.755981
1,1,1,2,post,-1,1.337982,-1,1.041992,-1,1.199005,-1,1.170990,-1,0.779022,-1,0.711975,-1,1.151001,-1,1.394989,-1,0.933990,-1,0.881012,-1,0.619995,-1,0.709015,-1,0.967987,-1,0.917999,-1,1.207001,-1,0.652008
